timestamp,latitude,longitude,altitude,pm25,pm10,temperature,humidity,speed,heading,battery,satellites,gps_status,signal_strength
2026-08-26T18:01:02.150315,19.021521,73.100037,42.1,47.1,69.1,29.1,68.0,4.1,91,99,5,SEARCHING,-55
2026-08-26T18:01:04.150315,19.021541,73.100073,42.1,39.7,84.8,29.1,68.1,4.2,92,99,5,SEARCHING,-54
2026-08-26T18:01:06.150315,19.021562,73.100110,42.2,45.0,77.1,29.1,68.1,4.3,91,99,6,SEARCHING,-54
2026-08-26T18:01:08.150315,19.021583,73.100147,42.3,48.7,81.2,29.1,68.1,4.2,92,99,5,SEARCHING,-54
2026-08-26T18:01:10.150315,19.021604,73.100184,42.3,42.3,76.5,29.1,68.1,4.3,93,99,3,SEARCHING,-55
2026-08-26T18:01:12.150315,19.021624,73.100221,42.4,49.3,80.6,29.1,68.2,4.4,91,99,8,LOCKED,-54
2026-08-26T18:01:14.150315,19.021646,73.100258,42.4,54.0,84.6,29.0,68.2,4.3,93,99,8,LOCKED,-55
2026-08-26T18:01:16.150315,19.021666,73.100295,42.4,40.8,74.2,29.0,68.2,4.3,92,99,9,LOCKED,-55
2026-08-26T18:01:18.150315,19.021687,73.100333,42.4,56.6,84.0,29.1,68.2,4.3,91,99,9,LOCKED,-55
2026-08-26T18:01:20.150315,19.021708,73.100370,42.3,46.1,85.1,29.1,68.1,4.4,91,99,9,LOCKED,-55
2026-08-26T18:01:22.150315,19.021729,73.100408,42.3,54.7,85.0,29.0,68.2,4.5,92,99,9,LOCKED,-55
2026-08-26T18:01:24.150315,19.021751,73.100447,42.3,47.5,75.8,29.0,68.1,4.5,90,99,9,LOCKED,-55
2026-08-26T18:01:26.150315,19.021772,73.100486,42.3,58.4,76.1,29.0,68.1,4.6,90,99,9,LOCKED,-55
2026-08-26T18:01:28.150315,19.021793,73.100525,42.3,48.6,80.4,29.0,68.1,4.6,90,99,9,LOCKED,-55
2026-08-26T18:01:30.150315,19.021815,73.100564,42.3,49.0,77.9,29.0,68.2,4.5,89,99,9,LOCKED,-55
2026-08-26T18:01:32.150315,19.021836,73.100603,42.3,53.8,70.1,29.0,68.2,4.5,90,99,10,LOCKED,-55
2026-08-26T18:01:34.150315,19.021857,73.100642,42.3,52.3,78.2,29.0,68.2,4.6,91,99,10,LOCKED,-55
2026-08-26T18:01:36.150315,19.021879,73.100682,42.4,31.3,38.7,29.0,68.1,4.6,90,99,10,LOCKED,-55
2026-08-26T18:01:38.150315,19.021900,73.100721,42.4,35.4,44.6,29.0,68.2,4.6,89,99,10,LOCKED,-55
2026-08-26T18:01:40.150315,19.021922,73.100760,42.5,35.1,46.0,29.0,68.1,4.6,91,99,9,LOCKED,-55
2026-08-26T18:01:42.150315,19.021943,73.100799,42.6,28.4,53.3,29.0,68.1,4.6,91,99,9,LOCKED,-55
2026-08-26T18:01:44.150315,19.021965,73.100839,42.6,33.8,73.3,29.0,68.1,4.5,91,99,10,LOCKED,-55
2026-08-26T18:01:46.150315,19.021987,73.100877,42.5,34.8,72.0,29.0,68.1,4.5,93,99,10,LOCKED,-55
2026-08-26T18:01:48.150315,19.022008,73.100915,42.5,48.7,52.9,29.0,68.0,4.6,93,99,10,LOCKED,-55
2026-08-26T18:01:50.150315,19.022030,73.100952,42.6,36.3,55.4,29.0,68.0,4.5,95,99,10,LOCKED,-55
